City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Poum,NC,76.84,scattered clouds,-20.2333,164.0167,
203,Samarai,PG,82.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
210,Ishigaki,JP,75.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
214,Cavite,PH,84.29,few clouds,14.4825,120.9169,One Serenata Hotel
216,Kavieng,PG,82.85,broken clouds,-2.5744,150.7967,Nusa Island Retreat
221,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
228,Lafia,NG,87.55,light rain,8.4833,8.5167,Low Cost Housing Estate
235,Alugan,PH,80.22,broken clouds,12.2188,125.4808,JM Lodge
238,Uniao,BR,83.73,moderate rain,-4.5858,-42.8642,Pousada União
243,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
244,Wilmington,US,80.51,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
250,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
254,Bettiah,IN,88.74,clear sky,26.8,84.5,Bhola Clarks Inn
255,Manggar,ID,80.85,overcast clouds,-2.8833,108.2667,Guest Hotel
260,Salalah,OM,80.8,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
261,Cabra,ES,75.65,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
268,Awjilah,LY,78.94,overcast clouds,29.1081,21.2869,المنزل
284,Waingapu,ID,78.76,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
287,Touros,BR,76.35,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
299,Tiruvalla,IN,79.16,scattered clouds,9.3833,76.5667,Edasseriathu Homestays Tiruvalla
302,Makakilo City,US,75.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
303,Jardim,BR,82.29,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
314,Sabha,LY,80.67,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
315,Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
316,Uberlandia,BR,85.21,scattered clouds,-18.9186,-48.2772,Hotel Apollo
322,Black River,JM,83.64,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
323,Puerto Maldonado,PE,84.6,broken clouds,-12.6,-69.1833,Wasai Hotel
327,Phuket,TH,88.09,few clouds,8.0,98.25,The Surin
334,Nhulunbuy,AU,81.21,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
335,Mecca,SA,79.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
337,Namatanai,PG,79.2,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
346,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
350,Taitung,TW,76.15,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
351,Faanui,PF,81.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
359,Russell,US,79.97,few clouds,32.3502,-85.1999,Macs
360,Jalu,LY,79.65,overcast clouds,29.0331,21.5482,صاحبة الفخامة
361,Conde,BR,80.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
365,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
366,Hambantota,LK,81.16,overcast clouds,6.1241,81.1185,Bungalow 63
375,Margosatubig,PH,78.98,overcast clouds,7.5777,123.1658,Ojic billiard center
380,Kahului,US,77.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
386,Iralaya,HN,84.16,overcast clouds,15.0,-83.2333,Iglesia morava renovada
387,Haldibari,IN,79.54,few clouds,26.3333,88.7667,Rahul and Debika
391,Rivadavia,AR,76.96,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
393,Awbari,LY,79.45,clear sky,26.5921,12.7805,فندق أوباري
395,Kant,IN,88.16,clear sky,27.8,79.8,Haseeb Khan shatreng
397,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
404,Kutum,SD,82.62,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
409,Caravelas,BR,75.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
410,Tahta,EG,80.56,few clouds,26.7693,31.5021,فندق الزيات
418,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
421,Harper,LR,81.46,overcast clouds,4.375,-7.7169,Screensaver
429,Claudio,BR,78.96,clear sky,-20.4433,-44.7658,Hotel 3 Irmãos
433,Isla Mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
435,Indramayu,ID,79.77,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
438,Banda Aceh,ID,79.74,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
441,Gigmoto,PH,79.93,overcast clouds,13.7796,124.39,Cj's Travellers Inn
442,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
443,Rio De Janeiro,BR,75.2,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
447,Morong,PH,84.22,broken clouds,14.5115,121.2393,Clarita De Luisa
456,Siparia,TT,86.79,overcast clouds,10.1333,-61.5,Brook Gardens
461,Sao Miguel Do Araguaia,BR,85.01,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
462,Kieta,PG,78.57,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
465,Rawson,AR,77.49,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
466,Chatra,IN,80.08,clear sky,24.2167,84.8667,GOPI BHOJNALAY
469,Gorontalo,ID,75.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
470,Male,MV,84.11,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
471,Shenzhen,CN,77.27,overcast clouds,22.5455,114.0683,Grand Skylight
473,Thinadhoo,MV,83.97,overcast clouds,0.5333,72.9333,
480,Odweyne,SO,80.53,scattered clouds,9.4092,45.064,Eng Hiirey House
494,Borba,BR,80.92,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
509,Manokwari,ID,78.48,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
510,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
511,Gondanglegi,ID,75.94,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
512,Salinopolis,BR,81.23,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
515,Antsohihy,MG,75.79,scattered clouds,-14.8796,47.9875,Hotel de Ville
517,Tarakan,ID,79.68,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
518,Talipan,PH,82.15,scattered clouds,13.9333,121.6833,Silangang Nayon Park and Restaurant
519,Gubbi,IN,77.18,clear sky,13.3106,76.9444,"SLV Comforts - Lodge, Bar & Restaurant"
520,Mumford,GH,81.84,overcast clouds,5.2618,-0.759,Spanish Villa
527,Basco,PH,82.06,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
532,Yaan,NG,85.57,overcast clouds,7.3833,8.5667,
535,Tocantins,BR,86.29,few clouds,-10.5,-48.0,
536,Eydhafushi,MV,84.11,overcast clouds,5.1033,73.0708,Soneva Fushi
542,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
547,Pascagoula,US,87.42,clear sky,30.3658,-88.5561,Regency Inn
552,Majene,ID,78.6,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
555,Bahia Blanca,AR,75.33,overcast clouds,-38.7196,-62.2724,Hotel Argos
557,Itaberai,BR,85.23,overcast clouds,-16.0203,-49.8103,HOTEL ARAGUAIA
558,San Carlos,VE,79.09,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
559,Kulhudhuffushi,MV,84.96,overcast clouds,6.6221,73.07,Haajy Guest House 1
560,Bodden Town,KY,87.01,few clouds,19.2833,-81.25,Will T Place
561,Bela,IN,88.74,clear sky,25.9333,81.9833,Raj Bhawan
562,Celestun,MX,87.4,clear sky,20.8667,-90.4,Posada Lilia
567,Honiara,SB,77.81,overcast clouds,-9.4333,159.95,Heritage Park Hotel
575,Porto Novo,BJ,79.72,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
579,Kalmunai,LK,82.15,overcast clouds,7.4167,81.8167,VS Villa
583,Itarema,BR,81.45,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
588,Rio Cuarto,AR,76.77,scattered clouds,-33.1307,-64.3499,Hotel Menossi
599,Biak,ID,77.22,overcast clouds,-0.9131,122.8766,Penginapan Kim
601,Waddan,LY,77.11,clear sky,29.1614,16.139,محل الشريف محمد العايب
603,Kailua,US,77.02,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
605,Belle Fourche,US,76.32,overcast clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
607,Tiznit,MA,80.35,scattered clouds,29.5833,-9.5,
613,Raton,US,86.05,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
617,Ranong,TH,79.41,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
621,Rio Grande,BR,75.31,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
626,Tabou,CI,81.75,overcast clouds,4.423,-7.3528,hotêl doufoulougou
628,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
641,Tlaltenango,MX,82.9,clear sky,19.1667,-98.3333,CASA VALENCIA
643,Odienne,CI,77.32,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
645,Puerto Baquerizo Moreno,EC,81.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
646,Sao Gabriel Da Cachoeira,BR,78.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
650,Khash,IR,78.98,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
651,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
653,Grand Gaube,MU,77.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
655,Balabac,PH,82.69,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
658,Aripuana,BR,86.92,overcast clouds,-9.1667,-60.6333,
659,Sur,OM,85.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
660,Neyshabur,IR,75.96,broken clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
662,Khatra,IN,84.4,overcast clouds,22.9833,86.85,Aranyak Resort Mukutmanipur
663,Simbahan,PH,83.28,overcast clouds,6.3032,120.5836,
668,Sabang,ID,81.9,light rain,5.8933,95.3214,Hotel Citra
670,Camocim,BR,83.28,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
671,Gogrial,SS,84.81,overcast clouds,8.5332,28.1004,
675,Acajutla,SV,86.38,scattered clouds,13.5928,-89.8275,Laureles
680,Sokoni,TZ,81.1,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
681,Labuhan,ID,79.25,broken clouds,-6.8844,112.2051,DoubleFAG
684,Ramhormoz,IR,81.09,clear sky,31.28,49.6035,کافی نت کاریزما
685,Muisne,EC,80.49,scattered clouds,0.6,-80.0333,Quinta Samay
688,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
695,Formosa,AR,76.98,clear sky,-26.1775,-58.1781,Asterión Hotel
696,Nortelandia,BR,86.92,clear sky,-14.4547,-56.8028,Hotel Karysmã
