City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Katsuura,JP,2022-05-05 01:50:46,35.1333,140.3,68.99,70,100,12.77
88,Mecca,SA,2022-05-05 01:47:47,21.4267,39.8261,81.64,40,0,2.21
89,Thomaston,US,2022-05-05 01:52:24,32.8882,-84.3266,76.78,79,0,0.0
90,Hithadhoo,MV,2022-05-05 01:52:24,-0.6,73.0833,82.9,76,100,21.54
91,Kununurra,AU,2022-05-05 01:52:25,-15.7667,128.7333,89.58,31,8,13.8
92,Soe,ID,2022-05-05 01:52:25,-9.8607,124.284,77.83,69,57,5.88
93,Fort Dodge,US,2022-05-05 01:47:32,42.4975,-94.168,55.02,76,100,5.75
94,Nome,US,2022-05-05 01:50:18,64.5011,-165.4064,42.17,80,0,6.91
95,Tongren,CN,2022-05-05 01:52:26,27.7172,109.1853,77.81,53,52,2.01
96,Upernavik,GL,2022-05-05 01:45:24,72.7868,-56.1549,2.52,94,7,6.33
97,Avarua,CK,2022-05-05 01:44:34,-21.2078,-159.775,82.45,74,20,9.22
98,Show Low,US,2022-05-05 01:52:27,34.2542,-110.0298,59.29,22,0,13.8
99,Pacific Grove,US,2022-05-05 01:47:49,36.6177,-121.9166,62.35,84,20,6.91
100,Port Lincoln,AU,2022-05-05 01:52:28,-34.7333,135.8667,57.74,54,96,19.95
101,Ribeira Grande,PT,2022-05-05 01:52:28,38.5167,-28.7,62.55,86,100,18.79
102,Dikson,RU,2022-05-05 01:45:20,73.5069,80.5464,28.4,91,100,19.3
103,Saint George,US,2022-05-05 01:50:31,37.1041,-113.5841,75.79,22,0,19.57
104,Maiduguri,NG,2022-05-05 01:52:29,11.8464,13.1603,87.12,38,61,7.27
105,Yulara,AU,2022-05-05 01:52:30,-25.2406,130.9889,60.64,44,0,17.27
106,Den Helder,NL,2022-05-05 01:44:33,52.9599,4.7593,49.98,87,100,5.01
107,Sept-Iles,CA,2022-05-05 01:52:30,50.2001,-66.3821,37.06,94,75,0.0
108,San Patricio,US,2022-05-05 01:52:31,28.017,-97.5169,81.9,87,100,15.39
109,Kavieng,PG,2022-05-05 01:52:31,-2.5744,150.7967,85.3,72,99,13.35
110,Opuwo,NA,2022-05-05 01:52:32,-18.0607,13.84,60.3,35,0,8.01
111,Lanas,PH,2022-05-05 01:52:32,12.0495,121.9185,83.64,73,13,18.23
112,Lasa,IT,2022-05-05 01:52:33,46.6166,10.7002,49.08,92,63,0.83
113,Faanui,PF,2022-05-05 01:45:15,-16.4833,-151.75,81.73,75,31,10.71
114,Ayagoz,KZ,2022-05-05 01:52:33,47.9714,80.4392,54.68,35,100,9.78
115,Arraial Do Cabo,BR,2022-05-05 01:45:21,-22.9661,-42.0278,75.18,87,82,10.29
116,Solosolo,WS,2022-05-05 01:52:34,-13.875,-171.6418,87.64,70,13,4.68
117,Bethel,US,2022-05-05 01:45:45,41.3712,-73.414,57.94,89,63,1.99
118,Victoria,HK,2022-05-05 01:44:49,22.2855,114.1577,81.25,75,100,11.99
119,Tokur,RU,2022-05-05 01:52:35,53.1333,132.9,34.14,100,100,2.66
120,Kiama,AU,2022-05-05 01:52:35,-34.6833,150.8667,70.38,76,28,1.99
121,Askiz,RU,2022-05-05 01:52:36,53.1319,90.5264,39.72,45,97,6.13
122,Lardos,GR,2022-05-05 01:52:36,36.0942,28.0157,60.62,54,2,22.03
123,Phagwara,IN,2022-05-05 01:52:37,31.2178,75.7694,85.06,47,0,1.81
