City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Shimoda,JP,34.6667,138.95,62.1,93,61,7.34,broken clouds
126,Polunochnoye,RU,60.8697,60.4153,39.04,90,35,4.72,scattered clouds
127,Palmer,US,42.1584,-72.3287,54.77,41,75,21.85,broken clouds
128,Georgetown,MY,5.4112,100.3354,85.93,89,20,6.91,few clouds
129,Ekhabi,RU,53.5102,142.9671,28.02,90,100,3.06,overcast clouds
130,Cidreira,BR,-30.1811,-50.2056,66.78,64,0,6.02,clear sky
131,Hovd,MN,48.0056,91.6419,60.82,29,100,7.9,overcast clouds
132,Ayan,RU,56.45,138.1667,33.58,76,8,10.45,clear sky
133,Ugoofaaru,MV,5.6667,73.0,85.28,70,97,12.73,overcast clouds
134,Wajir,KE,1.7471,40.0573,82.99,59,83,14.29,broken clouds
135,Urambo,TZ,-5.0667,32.05,72.19,66,98,2.04,overcast clouds
136,Obregon,NI,11.9566,-85.9636,93.29,52,14,7.29,few clouds
137,Alta Floresta,BR,-9.8756,-56.0861,93.02,49,40,5.75,scattered clouds
138,Jiazi,CN,22.8779,116.067,73.06,83,99,7.29,overcast clouds
139,Cherskiy,RU,68.75,161.3,28.08,95,100,2.62,overcast clouds
140,Nome,US,64.5011,-165.4064,32.16,93,100,14.97,light snow
141,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,20,4.61,few clouds
142,Nemuro,JP,43.3236,145.575,45.82,99,100,26.51,moderate rain
143,Port Lincoln,AU,-34.7333,135.8667,55.63,79,1,2.15,clear sky
144,Kiama,AU,-34.6833,150.8667,56.37,63,0,11.99,clear sky
145,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,16.11,broken clouds
146,Surgut,RU,61.25,73.4167,23.18,74,0,4.47,clear sky
147,Miri,MY,4.4148,114.0089,78.94,94,40,2.3,moderate rain
148,Mar Del Plata,AR,-38.0023,-57.5575,73.42,60,0,19.57,clear sky
149,Mizdah,LY,31.4451,12.9801,70.29,27,40,7.38,scattered clouds
150,Kaseda,JP,31.4167,130.3167,66.45,89,95,2.73,overcast clouds
151,Butaritari,KI,3.0707,172.7902,81.25,80,100,15.26,light rain
152,Kruisfontein,ZA,-34.0033,24.7314,56.88,83,100,4.74,overcast clouds
153,Khasan,RU,42.4308,130.6434,45.54,45,0,6.04,clear sky
154,Slonim,BY,53.0867,25.3219,54.72,74,84,3.44,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,75,5.75,light rain
156,Sovetskiy,RU,61.3614,63.5842,37.2,96,97,3.94,overcast clouds
157,Nueva Loja,EC,0.0847,-76.8828,86.02,66,75,6.91,broken clouds
158,Sola,VU,-13.8833,167.55,81.48,71,3,19.3,clear sky
159,Tuatapere,NZ,-46.1333,167.6833,55.62,97,100,0.81,moderate rain
160,Saint-Louis,SN,16.3333,-15.0,102.72,10,6,11.63,clear sky
161,Muborak,UZ,39.2553,65.1528,83.01,32,0,10.74,clear sky
162,Hamilton,US,39.1834,-84.5333,60.75,76,100,18.41,overcast clouds
163,Novikovo,RU,51.1537,37.8879,48.27,62,78,4.94,broken clouds
164,The Valley,AI,18.217,-63.0578,84.06,65,40,16.11,scattered clouds
165,Port Moresby,PG,-9.4431,147.1797,76.53,89,100,3.4,overcast clouds
166,Las Guacamayas,MX,18.0167,-102.2167,85.86,54,100,11.65,overcast clouds
167,Codrington,AU,-38.2667,141.9667,52.21,84,61,7.9,broken clouds
168,Jiaonan,CN,35.8786,119.9753,51.21,68,81,4.07,broken clouds
169,Dolores,AR,-36.3132,-57.6792,72.32,52,16,10.13,few clouds
170,Vila,PT,42.0304,-8.1588,63.7,50,100,1.36,overcast clouds
171,Luoyang,CN,34.6836,112.4536,59.29,45,100,7.63,overcast clouds
172,Inhambane,MZ,-23.865,35.3833,69.78,94,0,0.0,clear sky
173,Korla,CN,41.7597,86.1469,73.83,34,78,7.45,broken clouds
174,Chiang Rai,TH,19.9167,99.9167,77.13,85,40,5.75,scattered clouds
175,Amuntai,ID,-2.4177,115.2494,74.37,98,100,0.54,moderate rain
176,Pochutla,MX,15.7432,-96.4661,93.81,32,96,7.87,overcast clouds
177,Hofn,IS,64.2539,-15.2082,44.11,76,6,13.69,clear sky
178,Bengkulu,ID,-3.8004,102.2655,76.08,88,100,5.46,light rain
179,Bathsheba,BB,13.2167,-59.5167,84.81,70,40,11.5,scattered clouds
180,Lazaro Cardenas,MX,17.9583,-102.2,84.11,58,100,11.5,overcast clouds
181,Kijang,KR,35.2442,129.2139,58.73,65,67,16.91,broken clouds
182,Igurusi,TZ,-8.85,33.85,65.5,83,42,3.22,scattered clouds
183,Victoria,HK,22.2855,114.1577,77.38,78,100,5.99,overcast clouds
184,Severo-Yeniseyskiy,RU,60.3725,93.0408,24.76,90,100,16.93,light snow
185,Souillac,MU,-20.5167,57.5167,75.58,83,75,5.75,broken clouds
186,Port Alfred,ZA,-33.5906,26.891,64.18,81,100,3.0,overcast clouds
187,Saint Anthony,US,45.0205,-93.218,74.08,30,0,20.71,clear sky
188,Marsa Matruh,EG,31.3525,27.2453,66.51,63,100,11.86,overcast clouds
189,Mount Gambier,AU,-37.8333,140.7667,50.22,86,84,4.79,broken clouds
190,Bredasdorp,ZA,-34.5322,20.0403,56.1,85,52,2.93,broken clouds
191,Esperance,AU,-33.8667,121.9,57.65,48,100,17.54,overcast clouds
192,San Pedro Del Parana,PY,-26.8333,-56.2,71.22,62,65,3.27,broken clouds
193,Chuy,UY,-33.6971,-53.4616,69.93,57,16,4.5,few clouds
194,Dingle,PH,10.9995,122.6711,78.71,87,9,9.06,clear sky
195,Kenai,US,60.5544,-151.2583,56.03,61,0,10.36,clear sky
196,Vestmannaeyjar,IS,63.4427,-20.2734,44.83,82,100,24.65,overcast clouds
197,Talakan,RU,50.3167,130.3667,33.1,83,7,3.91,clear sky
198,Birao,CF,10.2849,22.7882,88.75,27,100,4.68,overcast clouds
199,Yulara,AU,-25.2406,130.9889,44.44,57,0,6.91,clear sky
200,Ndele,CF,8.4109,20.6473,79.0,64,82,3.74,broken clouds
201,Poum,NC,-20.2333,164.0167,76.84,70,34,17.69,scattered clouds
202,Oranjemund,NA,-28.55,16.4333,56.55,86,0,12.64,clear sky
203,Samarai,PG,-10.6167,150.6667,82.63,80,47,12.12,scattered clouds
204,Hualmay,PE,-11.0964,-77.6139,70.83,74,29,13.22,scattered clouds
205,Asau,RO,46.4333,26.4,51.28,69,97,1.36,overcast clouds
206,Luau,AO,-10.7073,22.2247,69.8,66,7,2.84,clear sky
207,Jamestown,US,42.097,-79.2353,64.53,42,0,14.97,clear sky
208,Srednekolymsk,RU,67.45,153.6833,21.85,95,99,8.03,light snow
209,Torbay,CA,47.6666,-52.7314,42.89,61,75,19.57,broken clouds
210,Ishigaki,JP,24.3448,124.1572,75.33,94,20,4.61,few clouds
211,Dauphin,CA,51.1494,-100.0502,71.74,53,0,23.02,clear sky
212,Shubarkuduk,KZ,49.1447,56.4872,51.01,35,100,19.64,overcast clouds
213,Vostok,RU,46.4856,135.8833,30.78,98,100,3.06,overcast clouds
214,Cavite,PH,14.4825,120.9169,84.29,75,20,2.3,few clouds
215,Tromso,NO,69.6496,18.957,37.42,60,100,17.27,overcast clouds
216,Kavieng,PG,-2.5744,150.7967,82.85,76,62,18.03,broken clouds
217,Luderitz,NA,-26.6481,15.1594,58.14,68,0,22.93,clear sky
218,Saint-Francois,FR,46.4154,3.9054,60.67,67,24,8.05,few clouds
219,Half Moon Bay,US,37.4636,-122.4286,69.46,63,20,25.32,few clouds
220,Tiksi,RU,71.6872,128.8694,4.78,97,13,7.36,few clouds
221,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,12.66,scattered clouds
222,Mmathubudukwane,BW,-24.6,26.4333,67.77,32,65,5.1,broken clouds
223,Hohhot,CN,40.8106,111.6522,48.49,81,20,2.24,few clouds
224,Hoquiam,US,46.9809,-123.8893,53.02,73,100,14.97,overcast clouds
225,Santiago De Cao,PE,-7.9589,-79.2392,64.53,82,100,12.66,fog
226,Chokurdakh,RU,70.6333,147.9167,14.11,95,100,10.67,overcast clouds
227,Mayo,US,38.8876,-76.5119,52.21,93,100,13.8,light rain
228,Lafia,NG,8.4833,8.5167,87.55,55,16,5.79,light rain
229,Sitka,US,57.0531,-135.33,46.29,71,40,5.75,scattered clouds
230,Upernavik,GL,72.7868,-56.1549,18.84,74,8,7.02,clear sky
231,Aulum,DK,56.2649,8.787,46.51,75,8,16.53,clear sky
232,Naberera,TZ,-4.2,36.9333,61.84,79,97,7.43,overcast clouds
233,Tadine,NC,-21.55,167.8833,72.81,72,80,15.5,broken clouds
234,Lima,PE,-12.0432,-77.0282,71.85,60,0,11.5,clear sky
235,Alugan,PH,12.2188,125.4808,80.22,85,54,12.3,broken clouds
236,Flinders,AU,-34.5833,150.8552,56.17,63,0,7.0,clear sky
237,Ust-Koksa,RU,50.2696,85.6108,48.52,91,100,4.5,moderate rain
238,Uniao,BR,-4.5858,-42.8642,83.73,74,100,2.66,moderate rain
239,Richards Bay,ZA,-28.783,32.0377,68.09,90,3,2.48,clear sky
240,Fortuna,US,40.5982,-124.1573,54.66,89,100,12.66,overcast clouds
241,Sampit,ID,-2.5333,112.95,74.1,98,90,0.69,overcast clouds
242,Kaitangata,NZ,-46.2817,169.8464,54.0,92,100,2.84,overcast clouds
